Location name,Amount spent (ZAR)
Eastern Cape,2171
Free State,1257
Gauteng,7420
KwaZulu-Natal,2936
Limpopo,1612
Mpumalanga,1505
North West,915
Northern Cape,456
Unknown,≤100
Western Cape,9912
