Location name,Amount spent (VND)
An Giang Province,101115
Bà Rịa–Vũng Tàu Province,73756
Bình Dương Province,177700
Bình Phước Province,45937
Bình Thuận Province,65914
Bình Định Province,56629
Bạc Liêu Province,40425
Bắc Giang Province,39057
Bắc Kạn Province,9038
Bắc Ninh Province,36659
Bến Tre Province,49951
Cao Bằng Province,129658
Cà Mau Province,80199
Cần Thơ,62055
Da Nang,38821
Gia Lai Province,18032
Haiphong,68852
Ho Chi Minh City,642132
Hà Giang Province,7272
Hà Nam Province,13597
Hà Tĩnh Province,32827
Hòa Bình Province,19043
Hưng Yên Province,24478
Hải Dương Province,42988
Hậu Giang Province,19663
Khánh Hòa Province,51798
Kiên Giang Province,147315
Kon Tum Province,6918
Lai Châu Province,2995
Long An Province,74408
Lào Cai Province,14053
Lâm Đồng Province,58434
Lạng Sơn Province,24009
Nam Định Province,38565
Nghệ An Province,150670
Ninh Bình Province,16554
Ninh Thuận Province,22620
Phú Thọ Province,25535
Phú Yên Province,17660
Quảng Bình Province,17900
Quảng Nam Province,25578
Quảng Ngãi Province,21491
Quảng Ninh Province,51580
Quảng Trị Province,10501
Sóc Trăng Province,62660
Sơn La Province,18704
Thanh Hóa Province,64349
Thái Bình Province,31134
Thái Nguyên Province,26829
Thừa Thiên–Huế Province,24059
Tiền Giang Province,82817
Trà Vinh Province,43858
Tuyên Quang Province,18227
Tây Ninh Province,87776
Unknown,≤100
Vĩnh Long Province,35806
Vĩnh Phúc Province,14649
Yên Bái Province,50943
Điện Biên Province,10490
Đắk Lắk Province,39454
Đắk Nông Province,20620
Đồng Nai Province,153247
Đồng Tháp Province,81134
