Location name,Amount spent (PKR)
Azad Kashmir,2043
Balochistan,2814
Federally Administered Tribal Areas,565
Gilgit-Baltistan,982
Islamabad Capital Territory,4032
Khyber Pakhtunkhwa,16408
Punjab,80760
Sindh,30111
Unknown,≤100
