Location name,Amount spent (KES)
Central Province,184
Coast Province,598
Eastern Province,≤100
Nairobi,620
North Eastern Province,≤100
Nyanza Province,≤100
Rift Valley Province,411
Unknown,≤100
Western Province,≤100
