Location name,Amount spent (PKR)
Azad Kashmir,766
Balochistan,1146
Federally Administered Tribal Areas,247
Gilgit-Baltistan,407
Islamabad Capital Territory,1523
Khyber Pakhtunkhwa,5794
Punjab,37844
Sindh,15017
Unknown,≤100
