Location name,Amount spent (THB)
Amnat Charoen,≤100
Ang Thong,≤100
Ayutthaya,449
Bangkok,6733
Bueng Kan,≤100
Buriram,210
Chachoengsao,147
Chai Nat,≤100
Chaiyaphum,132
Chanthaburi,101
Chiang Mai,478
Chiang Rai,196
Chon Buri,356
Chumphon,228
Kalasin,130
Kamphaeng Phet,≤100
Kanchanaburi,300
Khon Kaen,315
Krabi,298
Lampang,122
Lamphun,≤100
Loei,≤100
Lop Buri,114
Mae Hong Son,≤100
Maha Sarakham,138
Mukdahan,≤100
Nakhon Nayok,≤100
Nakhon Pathom,186
Nakhon Phanom,≤100
Nakhon Ratchasima,395
Nakhon Sawan,888
Nakhon Si Thammarat,1746
Nan,≤100
Narathiwat,111
Nong Bua Lam Phu,≤100
Nong Khai,≤100
Nonthaburi,365
Pathum Thani,427
Pattani,124
Phangnga,184
Phatthalung,290
Phayao,≤100
Phetchabun,113
Phetchaburi,740
Phichit,193
Phitsanulok,1596
Phrae,≤100
Phuket,800
Prachin Buri,≤100
Prachuap Khiri Khan,390
Ranong,≤100
Ratchaburi,194
Rayong,166
Roi Et,200
Sa Kaeo,≤100
Sakon Nakhon,155
Samut Prakan,244
Samut Sakhon,172
Samut Songkhram,≤100
Saraburi,125
Satun,101
Sing Buri,≤100
Sisaket,177
Songkhla,606
Sukhothai,≤100
Suphan Buri,220
Surat Thani,5179
Surin,197
Tak,120
Trang,426
Trat,≤100
Ubon Ratchathani,317
Udon Thani,210
Unknown,≤100
Uthai Thani,≤100
Uttaradit,≤100
Yala Province,128
Yasothon,165
