Location name,Amount spent (GTQ)
Alta Verapaz Department,1039
Baja Verapaz Department,218
Chimaltenango Department,784
Chiquimula Department,572
El Progreso Department,193
Escuintla Department,1022
Guatemala Department,20782
Huehuetenango Department,1098
Izabal Department,676
Jalapa Department,416
Jutiapa Department,416
Petén Department,550
Quetzaltenango Department,2282
Quiché Department,748
Retalhuleu Department,440
Sacatepéquez Department,931
San Marcos Department,2146
Santa Rosa Department,310
Sololá Department,336
Suchitepéquez Department,657
Totonicapán Department,421
Unknown,≤100
Zacapa Department,443
