Location name,Amount spent (MXN)
Aguascalientes,9180
Baja California,19978
Baja California Sur,8033
Campeche,28236
Chiapas,12687
Chihuahua,30018
Coahuila de Zaragoza,48848
Colima,5625
Distrito Federal,136045
Durango,5406
Guanajuato,51346
Guerrero,9687
Hidalgo,9134
Jalisco,120954
Michoacán de Ocampo,27585
Morelos,21721
Nayarit,20952
Nuevo León,110350
Oaxaca,11143
Puebla,29604
Querétaro Arteaga,24404
Quintana Roo,30824
San Luis Potosi,19806
Sinaloa,12993
Sonora,20252
State of Mexico,81656
Tabasco,7081
Tamaulipas,27018
Tlaxcala,6605
Unknown,≤100
Veracruz,26357
Yucatán,23549
Zacatecas,4683
