Location name,Amount spent (VEF)
Amazonas,175001
Anzoátegui,15318067
Apure,947504
Aragua,19068067
Barinas,1750000
Bolívar (state),16568067
Capital District,6886202
Carabobo,48000779
Cojedes,740003
Delta Amacuro,250000
Falcón,1682507
Guárico,1250000
Lara,5440024
Miranda (state),18750000
Monagas,1250000
Mérida,16000000
Nueva Esparta,2000000
Portuguesa,1750000
Sucre,1335006
Trujillo,1250000
Táchira,21000000
Unknown,≤100
Vargas,750000
Yaracuy,1500000
Zulia,61318369
