Location name,Amount spent (CAD)
Alberta,17805
British Columbia,8530
Manitoba,4076
New Brunswick,748
Newfoundland and Labrador,724
Northwest Territories,141
Nova Scotia,1384
Nunavut,≤100
Ontario,22152
Prince Edward Island,230
Quebec,10649
Saskatchewan,2551
Unknown,≤100
Yukon,106
