Location name,Amount spent (PYG)
Alto Paraguay Department,47262
Alto Paraná Department,3163755
Amambay Department,342565
Asunción,2506689
Boquerón department,120166
Caaguazú Department,1350970
Caazapá Department,216399
Canindeyú Department,264201
Central Department,9083179
Concepción Department (Paraguay),315665
Cordillera Department,954577
Guairá Department,442981
Itapúa Department,1103121
Misiones Department,350771
Paraguarí Department,314266
Presidente Hayes Department,256398
San Pedro Department,408613
Unknown,560
Ñeembucú Department,119723
