Location name,Amount spent (IDR)
Aceh,921627
Bali,2911269
Bangka–Belitung Islands,512247
Banten,2431970
Bengkulu,820431
Central Java,10278964
Central Kalimantan,870271
Central Sulawesi,1227868
East Java,11575223
East Kalimantan,2370553
East Nusa Tenggara,1789791
Gorontalo,716955
Jakarta,7223375
Jambi,1064661
Lampung,2121969
Maluku,795548
North Kalimantan,370375
North Maluku,588070
North Sulawesi,1903434
North Sumatra,4137589
Papua (province),978500
Riau,2584287
Riau Islands Province,1358066
South Kalimantan,1192967
South Sulawesi,4937995
South Sumatra,2099407
Southeast Sulawesi,817710
Special Region of Yogyakarta,1445164
Unknown,201
West Java,12296836
West Kalimantan,1745821
West Nusa Tenggara,1621024
West Papua,476026
West Sulawesi,389486
West Sumatra,1445577
