Location name,Amount spent (AUD)
Australian Capital Territory,952
Jervis Bay Territory,≤100
New South Wales,14866
Norfolk Island,≤100
Northern Territory,299
Queensland,7769
South Australia,2458
Tasmania,1268
Unknown,≤100
Victoria,9045
Western Australia,3692
