Location name,Amount spent (USD)
Alabama,12944
Alaska,2677
American Samoa,≤100
Arizona,32565
Arkansas,7967
California,119559
Colorado,21281
Connecticut,9922
Delaware,3648
Florida,74249
Georgia,32418
Guam,≤100
Hawaii,3525
Idaho,5797
Illinois,35186
Indiana,19491
Iowa,10876
Kansas,10130
Kentucky,17053
Louisiana,17451
Maine,7728
Maryland,22364
Massachusetts,19713
Michigan,37641
Minnesota,15363
Mississippi,8304
Missouri,17115
Montana,4852
Nebraska,5757
Nevada,14556
New Hampshire,6848
New Jersey,30270
New Mexico,7113
New York,96396
North Carolina,51068
North Dakota,2953
Northern Mariana Islands,≤100
Ohio,45534
Oklahoma,11323
Oregon,15506
Pennsylvania,55379
Puerto Rico,≤100
Rhode Island,3869
South Carolina,22134
South Dakota,2087
Tennessee,22279
Texas,91192
Unknown,129
Utah,10347
Vermont,1729
Virgin Islands (U.S.),≤100
Virginia,30118
Washington,24189
"Washington, District of Columbia",11477
West Virginia,7032
Wisconsin,22576
Wyoming,1723
