Page ID,Page name,Disclaimer,Amount spent (FJD),Number of ads in Library
1743956595869001,Sitiveni 480 Rabuka,The Peoples Alliance,628,10
200791327158338,Bill Gavoka,Viliame Rogoibulu Gavoka,199,8
373802769341908,Fijian Elections Office,Fijian Elections Office,≤100,7
108993025227860,Bhavick Kapadia - Candidate 191 - NFP,Bhavick Kapadia,≤100,8
678542618881925,FijiFirst,FijiFirst Party,≤100,1
128371938956830,Social Democratic Liberal Party,SODELPA,≤100,1
105390382395414,Faiyaz Koya - Vote 216,Mohammed Reyhan Shaheed,≤100,7
111879700694408,Jone Usamate,These ads ran without a disclaimer,≤100,1
113451204686577,Vote 479 Filipe Tuisawau,Vote 479 Filipe Tuisawau,≤100,2
111474633636880,Fiji Independent Commission Against Corruption - FICAC,Fiji Independent Commission Against Corruption (FICAC),≤100,1
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,1
105025722438927,Fijian Times,These ads ran without a disclaimer,≤100,1
102339792717043,ESROM. Y. Immanuel,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,4
109395225332926,Ofw Boss Mom,These ads ran without a disclaimer,≤100,1
1182128755219778,Japan Forward,These ads ran without a disclaimer,≤100,2
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,3
189232005248268,CTG,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,1
106427835614306,Sashi Kiran- 207,These ads ran without a disclaimer,≤100,1
