Location name,Amount spent (SEK)
Blekinge County,4534
Dalarna County,8689
Gotland County,2099
Gävleborg County,9070
Halland County,9609
Jämtland County,4257
Jönköping County,11174
Kalmar County,7256
Kronoberg County,5633
Norrbotten County,8985
Skåne County,42106
Stockholm County,84152
Södermanland County,9455
Unknown,≤100
Uppsala County,14502
Värmland County,8151
Västerbotten County,8652
Västernorrland County,7875
Västmanland County,8208
Västra Götaland County,55327
Örebro County,8951
Östergötland County,13760
