Location name,Amount spent (USD)
Alabama,10062
Alaska,2089
American Samoa,≤100
Arizona,25088
Arkansas,7240
California,100067
Colorado,15224
Connecticut,7763
Delaware,2384
Florida,52048
Georgia,386141
Guam,≤100
Hawaii,3449
Idaho,4643
Illinois,26667
Indiana,16123
Iowa,11922
Kansas,7899
Kentucky,9271
Louisiana,20917
Maine,5199
Maryland,21775
Massachusetts,15472
Michigan,31543
Minnesota,13176
Mississippi,13323
Missouri,16559
Montana,3581
Nebraska,3982
Nevada,7354
New Hampshire,3847
New Jersey,25650
New Mexico,5808
New York,51321
North Carolina,25583
North Dakota,1960
Northern Mariana Islands,≤100
Ohio,31401
Oklahoma,9508
Oregon,16543
Pennsylvania,40289
Puerto Rico,≤100
Rhode Island,2826
South Carolina,10304
South Dakota,1737
Tennessee,15626
Texas,77579
Unknown,≤100
Utah,8728
Vermont,1665
Virgin Islands (U.S.),≤100
Virginia,28074
Washington,27160
"Washington, District of Columbia",16107
West Virginia,5661
Wisconsin,17565
Wyoming,1318
