Location name,Amount spent (GTQ)
Alta Verapaz Department,2383
Baja Verapaz Department,754
Chimaltenango Department,2473
Chiquimula Department,1252
El Progreso Department,903
Escuintla Department,3695
Guatemala Department,48762
Huehuetenango Department,3597
Izabal Department,2254
Jalapa Department,1134
Jutiapa Department,2337
Petén Department,1526
Quetzaltenango Department,5046
Quiché Department,2164
Retalhuleu Department,1508
Sacatepéquez Department,2628
San Marcos Department,7600
Santa Rosa Department,1263
Sololá Department,1825
Suchitepéquez Department,2229
Totonicapán Department,1439
Unknown,≤100
Zacapa Department,879
