Location name,Amount spent (TWD)
Changhua,5380
Chiayi,1302
Hsinchu,2876
Hsinchu City,4935
Hualien,1848
Kaohsiung,19033
Keelung City,2593
Kinmen,312
Lienchiang,≤100
Miaoli,2677
Nantou,2455
New Taipei City,29074
Penghu,1082
Pingtung,3759
Taichung,21525
Tainan,11929
Taipei,25816
Taitung,1312
Taoyuan City,17657
Unknown,2357
Yilan,2009
Yunlin,3379
