Location name,Amount spent (MXN)
Aguascalientes,8004
Baja California,25243
Baja California Sur,2952
Campeche,5653
Chiapas,9474
Chihuahua,31653
Coahuila de Zaragoza,82379
Colima,21330
Distrito Federal,158299
Durango,5228
Guanajuato,33160
Guerrero,6853
Hidalgo,11192
Jalisco,135582
Michoacán de Ocampo,15088
Morelos,11604
Nayarit,3751
Nuevo León,66869
Oaxaca,8041
Puebla,15030
Querétaro Arteaga,14730
Quintana Roo,13474
San Luis Potosi,16292
Sinaloa,13173
Sonora,15196
State of Mexico,65078
Tabasco,7539
Tamaulipas,16341
Tlaxcala,6074
Unknown,≤100
Veracruz,23754
Yucatán,24765
Zacatecas,4933
