Location name,Amount spent (THB)
Amnat Charoen,7248
Ang Thong,3182
Ayutthaya,15725
Bangkok,388173
Bueng Kan,3380
Buriram,12762
Chachoengsao,10402
Chai Nat,3307
Chaiyaphum,11492
Chanthaburi,8541
Chiang Mai,35375
Chiang Rai,22065
Chon Buri,53462
Chumphon,11149
Kalasin,7337
Kamphaeng Phet,5326
Kanchanaburi,17972
Khon Kaen,34472
Krabi,17910
Lampang,22956
Lamphun,5763
Loei,5330
Lop Buri,9530
Mae Hong Son,6735
Maha Sarakham,8617
Mukdahan,4134
Nakhon Nayok,5317
Nakhon Pathom,14011
Nakhon Phanom,6009
Nakhon Ratchasima,40116
Nakhon Sawan,8950
Nakhon Si Thammarat,29164
Nan,2952
Narathiwat,6421
Nong Bua Lam Phu,4382
Nong Khai,5565
Nonthaburi,21661
Pathum Thani,22524
Pattani,10879
Phangnga,4242
Phatthalung,9307
Phayao,6180
Phetchabun,7259
Phetchaburi,7734
Phichit,6297
Phitsanulok,29205
Phrae,3960
Phuket,37843
Prachin Buri,6885
Prachuap Khiri Khan,7687
Ranong,3196
Ratchaburi,13383
Rayong,20830
Roi Et,11301
Sa Kaeo,7007
Sakon Nakhon,9193
Samut Prakan,30700
Samut Sakhon,16512
Samut Songkhram,7017
Saraburi,10889
Satun,3962
Sing Buri,2281
Sisaket,9013
Songkhla,45544
Sukhothai,5963
Suphan Buri,9777
Surat Thani,21888
Surin,10985
Tak,4405
Trang,14008
Trat,3122
Ubon Ratchathani,16732
Udon Thani,12889
Unknown,≤100
Uthai Thani,2374
Uttaradit,3422
Yala Province,7315
Yasothon,7213
