Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,241
Apurímac Region,≤100
Arequipa Region,334
Ayacucho Region,122
Cajamarca Region,262
Callao,115
Cusco Region,278
Huancavelica Region,≤100
Huánuco Region,120
Ica Region,224
Junín Region,267
La Libertad Region,418
Lambayeque Region,303
Lima Region,1953
Loreto Region,309
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,422
Puno Region,287
San Martín Region,240
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,170
Unknown,≤100
