Location name,Amount spent (CAD)
Alberta,43878
British Columbia,8100
Manitoba,5327
New Brunswick,741
Newfoundland and Labrador,671
Northwest Territories,≤100
Nova Scotia,1320
Nunavut,≤100
Ontario,30657
Prince Edward Island,263
Quebec,18392
Saskatchewan,2086
Unknown,≤100
Yukon,≤100
