Location name,Amount spent (AUD)
Australian Capital Territory,3106
Jervis Bay Territory,≤100
New South Wales,14859
Norfolk Island,≤100
Northern Territory,433
Queensland,11215
South Australia,3958
Tasmania,1822
Unknown,≤100
Victoria,13111
Western Australia,5919
