Location name,Amount spent (ZAR)
Eastern Cape,1055
Free State,245
Gauteng,2359
KwaZulu-Natal,941
Limpopo,311
Mpumalanga,324
North West,214
Northern Cape,≤100
Unknown,≤100
Western Cape,3968
