Location name,Amount spent (NZD)
Auckland Region,2551
Bay of Plenty Region,350
Canterbury,655
Gisborne District,≤100
Hawke's Bay,207
Manawatu-Wanganui,238
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,189
Otago,223
Southland,≤100
Taranaki,131
Tasman District,≤100
Unknown,≤100
Waikato,481
Wellington Region,400
West Coast,≤100
