Location name,Amount spent (CAD)
Alberta,7715
British Columbia,6853
Manitoba,1931
New Brunswick,895
Newfoundland and Labrador,259
Northwest Territories,≤100
Nova Scotia,1146
Nunavut,≤100
Ontario,11873
Prince Edward Island,≤100
Quebec,5220
Saskatchewan,1162
Unknown,≤100
Yukon,114
