Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
106817618947376,Dịch Vụ Bằng Cấp,These ads ran without a disclaimer,764496,1
104253815926237,Dịch Vụ Bằng Cấp Giấy Tờ 2,These ads ran without a disclaimer,756226,2
101914358044085,Tài Liệu Ôn Thi Viên Chức Giáo Dục,Tài Liệu Ôn Thi Viên Chức Giáo Dục,377207,16
192195994956428,Tài Liệu Thi Viên Chức Giáo Viên,Tài Liệu Thi Viên Chức Giáo Viên,54879,1
106476091689860,Bartra Wealth Advisors,Bartra Wealth Advisors,48820,4
1831330046916094,Tuyển Dụng Giáo Viên Hà Nội,Tuyển Dụng Giáo Viên Hà Nội,41175,1
101865258169428,ĐEN Secondhand,ĐEN Secondhand,32558,2
110647840532680,Merge Mayor,These ads ran without a disclaimer,25461,1
165600847322369,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,Tài Liệu Thi Viên Chức Giáo Dục Bình Định-Phú Yên,23261,2
151148098236373,Discovery Channel Southeast Asia,These ads ran without a disclaimer,16650,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,14312,2
1470528053216060,Luật Khoa tạp chí,These ads ran without a disclaimer,9998,1
113369218303059,Nhóm Kèm Tiếng Anh Chuyên Sâu- Ms Vy,These ads ran without a disclaimer,262,1
316496640057,7iber,These ads ran without a disclaimer,≤100,1
106068488158725,Graduatez - College Journey,These ads ran without a disclaimer,≤100,4
185999151456481,Somatic Experiencing International,These ads ran without a disclaimer,≤100,1
427787940590188,Радио Китай,These ads ran without a disclaimer,≤100,2
622390311179612,وقف الأمة Ümmet Vakfı,These ads ran without a disclaimer,≤100,1
2101293130136444,NewPsy,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,1
1917715138510680,Follow Your Legend,These ads ran without a disclaimer,≤100,3
1909154786072245,Verkada,These ads ran without a disclaimer,≤100,1
239295866437866,Eagle Natural Resources,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,2
134571176638205,One Tree Planted,These ads ran without a disclaimer,≤100,9
104020935928278,Pan Passport,These ads ran without a disclaimer,≤100,1
