Location name,Amount spent (RON)
Alba County,802
Arad County,1179
Argeș County,1588
Bacău County,1706
Bihor County,1379
Bistrița-Năsăud County,645
Botoșani County,932
Brașov County,1972
Brăila County,669
Bucharest,5154
Buzău County,859
Caraș-Severin County,699
Cluj County,1830
Constanța County,1567
Covasna County,478
Călărași County,472
Dolj County,1433
Dâmbovița County,931
Galați County,1396
Giurgiu County,422
Gorj County,908
Harghita County,750
Hunedoara County,969
Ialomița County,435
Iași County,3151
Ilfov County,732
Maramureș County,1243
Mehedinți County,723
Mureș County,1520
Neamț County,1309
Olt County,724
Prahova County,1707
Satu Mare County,896
Sibiu County,921
Suceava County,1784
Sălaj County,503
Teleorman County,563
Timiș County,1840
Tulcea County,427
Unknown,≤100
Vaslui County,797
Vrancea County,941
Vâlcea County,795
