Location name,Amount spent (EUR)
Alsace,667
Aquitaine,1314
Auvergne,404
Basse-Normandie,478
Bourgogne,526
Bretagne,1107
Centre,933
Champagne-Ardenne,486
Corse,166
Franche-Comté,352
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,788
Languedoc-Roussillon,1277
Limousin,237
Lorraine,995
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1041
New Caledonia,≤100
Nord-Pas-de-Calais,1435
Pays de la Loire,1164
Picardie,664
Poitou-Charentes,655
Provence-Alpes-Côte d'Azur,2305
Reunion Island,≤100
Rhône-Alpes,2118
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4998
