Location name,Amount spent (INR)
Andaman and Nicobar Islands,167
Andhra Pradesh,56615
Arunachal Pradesh,823
Assam,10772
Bihar,36769
Chandigarh,1141
Chhattisgarh,23804
Dadra and Nagar Haveli,633
Delhi,31518
Goa,2656
Gujarat,38087
Haryana,27015
Himachal Pradesh,7080
Jammu and Kashmir,5057
Jharkhand,14036
Karnataka,50927
Kerala,14536
Lakshadweep,≤100
Madhya Pradesh,60024
Maharashtra,118357
Manipur,106
Meghalaya,3512
Mizoram,1260
Nagaland,1951
Odisha,13102
Puducherry,3224
Punjab region,22815
Rajasthan,138131
Sikkim,571
Tamil Nadu,80692
Telangana,53026
Tripura,1552
Unknown,≤100
Uttar Pradesh,95886
Uttarakhand,8261
West Bengal,86510
