Location name,Amount spent (EUR)
Alsace,388
Aquitaine,796
Auvergne,258
Basse-Normandie,299
Bourgogne,306
Bretagne,723
Centre,496
Champagne-Ardenne,275
Corse,≤100
Franche-Comté,208
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,377
Languedoc-Roussillon,750
Limousin,143
Lorraine,469
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,613
New Caledonia,≤100
Nord-Pas-de-Calais,816
Pays de la Loire,699
Picardie,397
Poitou-Charentes,368
Provence-Alpes-Côte d'Azur,1594
Reunion Island,≤100
Rhône-Alpes,1454
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3575
