Location name,Amount spent (PKR)
Azad Kashmir,862
Balochistan,1392
Federally Administered Tribal Areas,232
Gilgit-Baltistan,620
Islamabad Capital Territory,9123
Khyber Pakhtunkhwa,7179
Punjab,26484
Sindh,9456
Unknown,≤100
