Location name,Amount spent (DKK)
Capital Region of Denmark,51265
Central Denmark Region,24800
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,11189
Region of Southern Denmark,22493
Unknown,≤100
Zealand Region,15204
