Location name,Amount spent (IDR)
Aceh,1217077
Bali,2659349
Bangka–Belitung Islands,514539
Banten,2841371
Bengkulu,740177
Central Java,9440212
Central Kalimantan,878257
Central Sulawesi,1272884
East Java,11907540
East Kalimantan,1871785
East Nusa Tenggara,1888904
Gorontalo,551191
Jakarta,6748420
Jambi,1212672
Lampung,2376477
Maluku,386476
North Kalimantan,299890
North Maluku,312888
North Sulawesi,2020952
North Sumatra,5678609
Papua (province),576956
Riau,2811539
Riau Islands Province,850936
South Kalimantan,1134718
South Sulawesi,3303271
South Sumatra,2565657
Southeast Sulawesi,1061923
Special Region of Yogyakarta,1248895
Unknown,25361
West Java,13568964
West Kalimantan,2453011
West Nusa Tenggara,2290511
West Papua,297032
West Sulawesi,408631
West Sumatra,2006070
