Location name,Amount spent (ZAR)
Eastern Cape,1646
Free State,1361
Gauteng,6969
KwaZulu-Natal,2942
Limpopo,1483
Mpumalanga,1207
North West,983
Northern Cape,506
Unknown,≤100
Western Cape,4456
