Location name,Amount spent (DKK)
Capital Region of Denmark,45787
Central Denmark Region,25607
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12156
Region of Southern Denmark,23990
Unknown,≤100
Zealand Region,18062
