Location name,Amount spent (NZD)
Auckland Region,2173
Bay of Plenty Region,435
Canterbury,931
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,224
Manawatu-Wanganui,293
Marlborough Region,≤100
Nelson Province,102
Niue,≤100
Northland Region,229
Otago,351
Southland,132
Taranaki,144
Tasman District,≤100
Unknown,≤100
Waikato,1725
Wellington Region,662
West Coast,≤100
