Location name,Amount spent (ISK)
Capital Region,55144
Eastern Region,2046
Northeastern Region,5665
Northwestern Region,1173
Southern Peninsula,4629
Southern Region,5380
Unknown,≤100
Western Region,1284
Westfjords,1093
