Location name,Amount spent (AUD)
Australian Capital Territory,617
Jervis Bay Territory,≤100
New South Wales,10862
Northern Territory,281
Queensland,6505
South Australia,2030
Tasmania,688
Unknown,≤100
Victoria,7308
Western Australia,3403
