Location name,Amount spent (PYG)
Alto Paraguay Department,17993
Alto Paraná Department,1973574
Amambay Department,205415
Asunción,1643311
Boquerón department,88644
Caaguazú Department,890582
Caazapá Department,136607
Canindeyú Department,157741
Central Department,5274847
Concepción Department (Paraguay),274561
Cordillera Department,696197
Guairá Department,286683
Itapúa Department,978507
Misiones Department,432097
Paraguarí Department,182805
Presidente Hayes Department,168475
San Pedro Department,255490
Unknown,615
Ñeembucú Department,258982
