Location name,Amount spent (USD)
Azuay Province,215
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,136
Cotopaxi Province,111
El Oro Province,317
Esmeraldas Province,161
Galápagos Province,≤100
Guayas Province,1037
Imbabura Province,105
Loja Province,160
Los Ríos Province,299
Manabí Province,498
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,659
Santa Elena Province,≤100
Santo Domingo de los Tsáchilas Province,≤100
Sucumbíos Province,≤100
Tungurahua Province,170
Unknown,≤100
Zamora-Chinchipe Province,≤100
