Location name,Amount spent (MYR)
Johor,1259
Kedah,188
Kelantan,422
Kuala Lumpur,427
Labuan,≤100
Malacca,161
Negeri Sembilan,132
Pahang,161
Penang,183
Perak,214
Perlis,≤100
Putrajaya,≤100
Sabah,262
Sarawak,263
Selangor,804
Terengganu,131
Unknown,≤100
