Location name,Amount spent (RON)
Alba County,455
Arad County,699
Argeș County,979
Bacău County,711
Bihor County,729
Bistrița-Năsăud County,376
Botoșani County,465
Brașov County,621
Brăila County,392
Bucharest,2837
Buzău County,502
Caraș-Severin County,362
Cluj County,1514
Constanța County,952
Covasna County,244
Călărași County,250
Dolj County,684
Dâmbovița County,557
Galați County,726
Giurgiu County,248
Gorj County,489
Harghita County,410
Hunedoara County,619
Ialomița County,229
Iași County,1180
Ilfov County,381
Maramureș County,684
Mehedinți County,327
Mureș County,704
Neamț County,635
Olt County,379
Prahova County,785
Satu Mare County,492
Sibiu County,495
Suceava County,742
Sălaj County,416
Teleorman County,357
Timiș County,889
Tulcea County,297
Unknown,≤100
Vaslui County,414
Vrancea County,468
Vâlcea County,497
