Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
533196430187039,KMU- und Gewerbeverband Kanton Zürich,KMU- und Gewerbeverband Kanton Zürich KGV,920,10
100195119489766,Benno Scherrer in den Regierungsrat,Benno Scherrer,248,2
110533229026103,EVP / PEV,EVP Schweiz,233,30
103977239013757,CARA,Association CARA,220,4
260591187302640,Parti socialiste genevois,Parti socialiste genevois,147,6
131066326987,SP Kanton Zürich,SP Kanton Zürich,146,5
809010089207949,Aperta e sovrana,aperta e sovrana,144,8
194790813901953,Grüne Schweiz,Grüne Schweiz,111,1
627220684023668,GRÜNE Zürich,Grüne Kanton Zürich,≤100,2
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,≤100,1
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,≤100,6
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,≤100,13
117741198303856,FDP Kanton Zürich,FDP Kanton Zürich,≤100,10
1524954517562834,Prominis,Prominis GmbH,≤100,3
610098352377102,Christian Pfaller,Komitee Christian Pfaller,≤100,22
450602808776880,Martin Neukom,Martin Neukom,≤100,2
103082059271118,SP Bezirk Hinwil,SP Wetzikon,≤100,1
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,≤100,4
169510248558,Die Mitte - Le Centre,Die Mitte,≤100,6
1092252917594218,Initiative pour les glaciers,Association suisse pour la protection du climat,≤100,2
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,≤100,2
102014399307738,Direkt,direkt,≤100,3
104176871670876,Renteninitiative - Für eine sichere & nachhaltige Altersvorsorge,Verein Renteninitiative,≤100,1
252652524823017,EVP Kanton Zürich,EVP Kanton Zürich,≤100,4
1642881809343062,Dachverband Berner Tierschutzorganisationen - DBT,Rolf Frischknecht,≤100,1
1613404075547204,Kathrin Schweizer,Komitee «Thomas Noack und Kathrin Schweizer in den Regierungsrat»,≤100,3
113189798267288,Karl Heinz Meyer,Karl Heinz Meyer,≤100,2
207703323162140,"Doris Meier, Kantonsrätin und a. Gemeindepräsidentin von Bassersdorf",Doris Meier-Kobler,≤100,1
48980326364,Public Eye,Public Eye,≤100,2
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,≤100,12
111516028427691,Die Mitte Oberes Baselbiet,Die Mitte Oberes Baselbiet,≤100,3
1587949341492441,Claudio Zihlmann,Claudio Zihlmann,≤100,33
97721121385,Public Eye,Public Eye,≤100,2
103865108846573,FDP.Die Liberalen Herzogenbuchsee,FDP Herzogenbuchsee,≤100,6
105262295297064,FDP.Die Liberalen Nürensdorf,FDP.Die Liberalen Nürensdorf,≤100,4
292711521138736,IPFO,International Photo Festival Olten,≤100,1
125466200895962,Valentin Landmann,Sven Kunz,≤100,1
82752099000,Alternative Liste ZH,Alternative Liste Zürich,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,4
