Location name,Amount spent (MXN)
Aguascalientes,7311
Baja California,43566
Baja California Sur,3552
Campeche,17746
Chiapas,16255
Chihuahua,48865
Coahuila de Zaragoza,28999
Colima,8091
Distrito Federal,85900
Durango,6847
Guanajuato,44457
Guerrero,11432
Hidalgo,8595
Jalisco,163427
Michoacán de Ocampo,29764
Morelos,7545
Nayarit,4620
Nuevo León,137924
Oaxaca,13605
Puebla,26975
Querétaro Arteaga,14582
Quintana Roo,9669
San Luis Potosi,10868
Sinaloa,9867
Sonora,18169
State of Mexico,142292
Tabasco,10723
Tamaulipas,18048
Tlaxcala,3928
Unknown,≤100
Veracruz,26784
Yucatán,33869
Zacatecas,5249
