Location name,Amount spent (MYR)
Johor,397
Kedah,189
Kelantan,136
Kuala Lumpur,400
Labuan,≤100
Malacca,≤100
Negeri Sembilan,116
Pahang,434
Penang,154
Perak,196
Perlis,≤100
Putrajaya,≤100
Sabah,335
Sarawak,327
Selangor,702
Terengganu,120
Unknown,≤100
