Location name,Amount spent (COP)
Amazonas,1069
Antioquia,754431
Arauca,5180
Atlantico,105664
Bolivar,77247
Boyaca,18909
Caldas,23876
Caqueta,91451
Casanare,8396
Cauca,37937
Cesar,63342
Choco,10436
Cordoba,34847
Cundinamarca,128556
Distrito Especial,2862116
Guainia,582
Guaviare,1122
Huila,41950
La Guajira,25006
Magdalena,51827
Meta,41323
Narino,42267
Norte de Santander,351411
Putumayo,39207
Quindio,15051
Risaralda,225802
San Andres y Providencia,1024
Santander,78665
Sucre,19625
Tolima,65488
Unknown,≤100
Valle del Cauca,217164
Vaupes,228
Vichada,308
