Location name,Amount spent (ZAR)
Eastern Cape,914
Free State,788
Gauteng,5117
KwaZulu-Natal,1810
Limpopo,777
Mpumalanga,769
North West,473
Northern Cape,179
Unknown,≤100
Western Cape,12138
