Location name,Amount spent (NGN)
Abia State,59086
Adamawa State,31379
Akwa Ibom State,37783
Anambra State,50231
Bauchi State,24196
Bayelsa State,9714
Benué State,34952
Borno State,28021
Cross River State,28101
Delta State,44708
Ebonyi State,11543
Edo State,37260
Ekiti State,10401
Enugu State,61263
Federal Capital Territory,123827
Gombe State,25889
Imo State,49662
Jigawa State,7949
Kaduna State,91360
Kano State,123181
Katsina State,25391
Kebbi State,7455
Kogi State,25023
Kwara State,31101
Lagos State,393041
Nasarawa State,17852
Niger State,29350
Ogun State,26811
Ondo State,20131
Osun State,23905
Oyo State,84221
Plateau State,83966
Rivers State,161568
Sokoto State,23840
Taraba State,18808
Unknown,≤100
Yobe State,10566
Zamfara State,10198
