Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
1894520370802455,Governo do Brasil,Secretaria Especial de Comunicação Social -Governo do Brasil,48566,31
301774903545521,Brasil Paralelo,Brasil Paralelo,10206,115
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,5038,96
198849783539777,Buscofem,Buscofem,4791,6
159103797542,Greenpeace Brasil,Greenpeace Brasil,4783,175
1608447079411218,Portal Concursos,PORTAL CURSOS PREPARATORIOS E OAB LTDA,4478,147
111498884648739,Instituto Cultural Vale,Instituto Cultural Vale,4000,2
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,3994,9
118558464851986,ACTbr,ACTbr,2911,6
333720355130,Petrobras,Petrobras,2754,8
1549054225424161,Eduardo Moreira,Instituto Conhecimento Liberta,2731,50
157912844276400,Governo da Bahia,Governo da Bahia,2648,57
141627992572943,Budweiser,Ambev,2587,5
101189854802059,Revista Oeste,Revista Oeste,2049,56
103428692606209,Isabela - Consultora,These ads ran without a disclaimer,2035,38
1594613884123934,IDIB,INSTITUTO DE DESENVOLVIMENTO INSTITUCIONAL BRASILEIRO - IDIB,2014,8
316828035004008,Tribunal Superior Eleitoral (TSE),Tribunal Superior Eleitoral (TSE),1878,7
329948620416635,Marcelo Cid Heráclito Queiroz,Marcelo Cid Heráclito Queiroz,1855,12
109226467222782,Brasil Sem Medo,Brasil Sem Medo,1813,117
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,1807,70
330379553673497,Oxfam Brasil,Oxfam Brasil,1454,190
534805630341699,Idecan Oficial,"INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL",1390,15
107247422182578,Manuela - Consultora,These ads ran without a disclaimer,1371,50
110190561574954,Inst. Conhecimento Liberta,Instituto Conhecimento Liberta,1357,66
204698573916,LATAM Airlines,These ads ran without a disclaimer,1219,1
465235726843103,Ambev,Ambev,1046,2
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,1035,28
163852833738546,Vinicius Camarinha,Vinicius Camarinha,974,3
255804437808407,Vale,Vale,903,2
1389429587984302,Renato Antunes,Renato Antunes,886,28
196638160529871,Sinait -  Sindicato Nacional dos Auditores Fiscais do Trabalho,Sinait -  Sindicato Nacional dos Auditores Fiscais do Trabalho,838,13
234606016649878,EcoRodovias,ECORODOVIAS CONCESSÕES E SERVIÇOS S.A,834,7
102773638649611,Bruno Pereira,These ads ran without a disclaimer,816,7
135611223190336,ClimaInfo,Instituto ClimaInfo,793,17
131844590198876,Prefeitura de Porto Alegre,Prefeitura Municipal de Porto Alegre,774,2
100106159009340,Marcelo Messias,MARCELO MESSIAS,739,2
360125334431298,Renova BR,ASSOCIAÇÃO RENOVA BR,660,47
105903775544880,Alexandre Braga,Alexandre Braga,606,12
110458059014089,Brasil no Foco,Brasil no Foco,600,24
239665829565195,Cidade de São Paulo,Prefeitura da Cidade de São Paulo,588,4
105527742878890,Prefeitura do Recife,Prefeitura do Recife,582,4
113165042099382,Brasil 61,Brasil 61,570,2
143803862450980,Célio Studart,Célio Studart Barbosa,556,5
113507215403008,Câmara Municipal de São Paulo,Câmara Municipal de São Paulo,526,4
394623300572500,Febraban Tech,Febraban Tech,525,6
224777780881144,Visão Mundial,Visão Mundial,495,15
185500178231142,Governo do Maranhão,Governo do Estado do Maranhão,485,11
109770755848061,Suzano,Suzano SA,485,5
107377209023534,Rei do Crédito,These ads ran without a disclaimer,482,37
241839765912021,Estratégia Concursos,ESTRATÉGIA CONCURSOS SA,478,7
117805997991853,Moviespour,These ads ran without a disclaimer,473,1
139007399495933,Fundação SOS Mata Atlântica,FUNDACAO S.O.S. PRO-MATA ATLANTICA,473,7
115558703488480,IDP Online,Instituto Brasiliense de Direito Publico,468,67
102046893217762,Escola de Negócios e Seguros,Escola de Negócios e Seguros,460,2
449013258505096,Prefeitura de Palmas,Prefeitura de Palmas,454,22
286861344662855,Stella Artois,Ambev,449,3
