Location name,Amount spent (VND)
An Giang Province,13542
Bà Rịa–Vũng Tàu Province,15787
Bình Dương Province,18913
Bình Phước Province,11878
Bình Thuận Province,12488
Bình Định Province,12354
Bạc Liêu Province,5288
Bắc Giang Province,14692
Bắc Kạn Province,3805
Bắc Ninh Province,118328
Bến Tre Province,8658
Cao Bằng Province,5541
Cà Mau Province,6881
Cần Thơ,10600
Da Nang,16997
Gia Lai Province,12590
Haiphong,13182
Ho Chi Minh City,62764
Hà Giang Province,5470
Hà Nam Province,8921
Hà Tĩnh Province,16145
Hòa Bình Province,8631
Hưng Yên Province,7434
Hải Dương Province,19294
Hậu Giang Province,2070
Khánh Hòa Province,14313
Kiên Giang Province,14247
Kon Tum Province,4510
Lai Châu Province,1816
Long An Province,7488
Lào Cai Province,6864
Lâm Đồng Province,14465
Lạng Sơn Province,10159
Nam Định Province,18141
Nghệ An Province,43723
Ninh Bình Province,8023
Ninh Thuận Province,5155
Phú Thọ Province,16768
Phú Yên Province,8080
Quảng Bình Province,10386
Quảng Nam Province,14724
Quảng Ngãi Province,9122
Quảng Ninh Province,11961
Quảng Trị Province,8164
Sóc Trăng Province,9113
Sơn La Province,9481
Thanh Hóa Province,28123
Thái Bình Province,14601
Thái Nguyên Province,14141
Thừa Thiên–Huế Province,14740
Tiền Giang Province,13025
Trà Vinh Province,6476
Tuyên Quang Province,7612
Tây Ninh Province,11574
Vĩnh Long Province,5385
Vĩnh Phúc Province,9369
Yên Bái Province,7726
Điện Biên Province,4374
Đắk Lắk Province,121091
Đắk Nông Province,9713
Đồng Nai Province,28820
Đồng Tháp Province,9396
