Location name,Amount spent (HUF)
Baranya County,97440
Borsod-Abaúj-Zemplén County,152235
Budapest,804347
Bács-Kiskun County,120943
Békés County,84999
Csongrád County,134961
Fejér County,123801
Győr-Moson-Sopron County,122429
Hajdú-Bihar County,110636
Heves County,75684
Jász-Nagykun-Szolnok County,89756
Komárom-Esztergom County,75089
Nógrád County,42700
Pest County,288110
Somogy County,75921
Szabolcs-Szatmár-Bereg County,109904
Tolna County,56534
Unknown,117
Vas County,94186
Veszprém County,81959
Zala County,71827
