Location name,Amount spent (RON)
Alba County,4510
Arad County,1115
Argeș County,1257
Bacău County,1499
Bihor County,1494
Bistrița-Năsăud County,609
Botoșani County,746
Brașov County,1583
Brăila County,658
Bucharest,8139
Buzău County,867
Caraș-Severin County,606
Cluj County,2487
Constanța County,2193
Covasna County,489
Călărași County,563
Dolj County,2147
Dâmbovița County,1108
Galați County,1251
Giurgiu County,1161
Gorj County,747
Harghita County,751
Hunedoara County,1015
Ialomița County,508
Iași County,2411
Ilfov County,1151
Maramureș County,1079
Mehedinți County,516
Mureș County,1839
Neamț County,1180
Olt County,577
Prahova County,1793
Satu Mare County,821
Sibiu County,1098
Suceava County,1279
Sălaj County,682
Teleorman County,420
Timiș County,1900
Tulcea County,414
Unknown,≤100
Vaslui County,603
Vrancea County,583
Vâlcea County,1145
