Location name,Amount spent (COP)
Amazonas,22200
Antioquia,8093343
Arauca,70959
Atlantico,938968
Bolivar,328183
Boyaca,623803
Caldas,514305
Caqueta,203006
Casanare,204776
Cauca,451239
Cesar,135928
Choco,16788
Cordoba,345801
Cundinamarca,671859
Distrito Especial,4263164
Guainia,1929
Guaviare,13233
Huila,254725
La Guajira,118126
Magdalena,408495
Meta,664994
Narino,181244
Norte de Santander,1659268
Putumayo,511672
Quindio,187577
Risaralda,791621
San Andres y Providencia,8829
Santander,1628963
Sucre,783407
Tolima,758563
Unknown,399
Valle del Cauca,4155957
Vaupes,224
Vichada,781
