Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,228
Apurímac Region,≤100
Arequipa Region,465
Ayacucho Region,149
Cajamarca Region,186
Callao,105
Cusco Region,388
Huancavelica Region,≤100
Huánuco Region,109
Ica Region,303
Junín Region,230
La Libertad Region,363
Lambayeque Region,250
Lima Region,2813
Loreto Region,110
Madre de Dios Region,119
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,284
Puno Region,438
San Martín Region,191
Tacna Region,179
Tumbes Region,≤100
Ucayali Region,123
Unknown,≤100
