Location name,Amount spent (LBP)
Beirut Governorate,3151983
Beqaa Governorate,911238
Mount Lebanon Governorate,1847506
Nabatieh Governorate,423465
North Governorate,1373925
South Governorate,660895
Unknown,≤100
