Location name,Amount spent (IDR)
Aceh,9157032
Bali,13654577
Bangka–Belitung Islands,527641
Banten,10493752
Bengkulu,877143
Central Java,45623756
Central Kalimantan,991204
Central Sulawesi,7058049
East Java,38137162
East Kalimantan,7077913
East Nusa Tenggara,10968739
Gorontalo,5712276
Jakarta,47443459
Jambi,6381600
Lampung,11942168
Maluku,5719678
North Kalimantan,1032845
North Maluku,641025
North Sulawesi,7799365
North Sumatra,15412926
Papua (province),1020535
Riau,3201680
Riau Islands Province,1237388
South Kalimantan,6148837
South Sulawesi,18706557
South Sumatra,13051834
Southeast Sulawesi,6308255
Special Region of Yogyakarta,6579468
Unknown,23002
West Java,55320948
West Kalimantan,6810928
West Nusa Tenggara,11428073
West Papua,568658
West Sulawesi,633870
West Sumatra,3846780
