Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
228366267271894,Warsaw Enterprise Institute,Fundacja Warsaw Enterprise Institute,2898,12
57544755889,Amnesty International Polska,Amnesty International Polska,2810,51
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,1904,13
178362315106,European Parliament,European Parliament,1893,13
654912251187357,Grupa PGE,Grupa PGE,1590,3
108675458379147,Liczy się energia,Liczy się energia,1232,2
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,1204,13
513969188677442,Compassion Polska,Compassion Polska,1137,16
311766890555,Fundacja Batorego,Fundacja Batorego,1112,43
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,1092,17
144808095552639,ING Polska,ING Polska,898,8
339855706171439,Dobra Fabryka,Dobra Fabryka,888,13
136884656519145,IOM Poland,International Organization for Migration,846,6
182038191908977,Cyfryzacja KPRM,Kancelaria Prezesa Rady Ministrów,840,14
273827962690526,Otwarte Klatki,Otwarte Klatki,650,13
102931488739,Platforma Obywatelska,Platforma Obywatelska,626,11
102792325966064,Kopalnia kitu,Kopalnia Kitu (DoubleD Marketing),616,5
176114889652,Kancelaria Premiera,Kancelaria Premiera,606,1
228168274881,wysokieobcasy,wysokieobcasy,573,10
50063176484,TVN24,TVN,567,15
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Iam4u.pl,567,100
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,469,12
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,465,6
133482470024453,Newsweek Polska,Newsweek Polska,440,8
107265068092174,Onet Premium,Ringier Axel Springer Polska,430,12
1190568991079766,Polska za życiem,Fundacja Instytut Na Rzecz Kultury Prawnej Ordo Iuris,423,1
104921858016507,Dzień Dobry Podatki,Michał Wilk,330,11
295161506338,AKADEMIA PRZYSZŁOŚCI,Stowarzyszenie Wiosna,327,15
250387950908,Tygodnik Solidarność,Tygodnik Solidarność,322,18
147547541961576,Council of the European Union,Council of the European Union,320,7
395533923834784,PSL Mazowsze,Zarząd Wojewódzki Polskiego Stronnictwa Ludowego Województwa Mazowieckiego,308,30
427646927347438,A4 Katowice - Kraków,Stalexport Autostrada Małopolska S.A.,304,5
1227194230675141,Pratia,Pratia SA,294,8
108301418501661,Odszkodowania Za Represje 1944-1989,Łukasz Świątek,291,8
300745193630,Fundacja Pro - Prawo do Życia,Fundacja Pro - Prawo do Życia,276,11
729204640539133,Eligiusz Komarowski,Eligiusz Piotr Komarowski,273,2
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,271,2
521216701360487,MURATOR,MURATOR,264,4
1477251852486946,Kosma Złotowski,Grupa Europejskich Konserwatystów i Reformatorów,252,11
286672948180163,Tomasz Trela,Poseł Tomasz Trela,249,2
487587700423,Miasto Gdańsk,Miasto Gdańsk,240,4
145382618855042,Muzeum Sztuki w Łodzi,Muzeum Sztuki w Łodzi,226,1
1659680027600979,Bydgoski Budżet Obywatelski,bydgoszcz.pl,221,2
426784938154184,PrzyjacieleZwierzat.pl,PrzyjacieleZwierzat.pl,208,1
475584852475176,Pozytron,Bartłomiej Jan Ginter,202,8
137358556439286,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych,202,8
142218132483199,Kasa Stefczyka,Kasa Stefczyka,200,5
178415208919146,Solidarna Polska,Solidarna Polska,192,2
142614625077,WWF Polska,WWF Polska,188,2
230415296997772,bydgoszcz.pl,bydgoszcz.pl,183,3
125185964281959,Centrum Edukacji Obywatelskiej (CEO),Centrum Edukacji Obywatelskiej (CEO),172,3
255100403945,Polityka,Polityka,171,11
199877710116314,Patryk Jaki,Patryk Jaki,168,2
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,166,3
