Location name,Amount spent (MXN)
Aguascalientes,9630
Baja California,34405
Baja California Sur,4531
Campeche,12482
Chiapas,12256
Chihuahua,28947
Coahuila de Zaragoza,120272
Colima,4971
Distrito Federal,112747
Durango,7588
Guanajuato,37960
Guerrero,10189
Hidalgo,12173
Jalisco,206382
Michoacán de Ocampo,27767
Morelos,26186
Nayarit,3828
Nuevo León,103352
Oaxaca,10853
Puebla,45354
Querétaro Arteaga,19591
Quintana Roo,29646
San Luis Potosi,23523
Sinaloa,14207
Sonora,20007
State of Mexico,225208
Tabasco,7560
Tamaulipas,27612
Tlaxcala,8065
Unknown,≤100
Veracruz,24258
Yucatán,14373
Zacatecas,6123
