Location name,Amount spent (CZK)
Central Bohemian Region,12804
Hradec Králové Region,5487
Karlovy Vary Region,2711
Liberec Region,4124
Moravian-Silesian Region,11901
Olomouc Region,5938
Pardubice Region,4539
Plzeň Region,6368
Prague,26205
South Bohemian Region,6948
South Moravian Region,13449
Unknown,≤100
Vysočina Region,4016
Zlín Region,5319
Ústí nad Labem Region,7517
