Location name,Amount spent (ZAR)
Eastern Cape,1225
Free State,1307
Gauteng,5364
KwaZulu-Natal,1813
Limpopo,564
Mpumalanga,799
North West,743
Northern Cape,496
Unknown,≤100
Western Cape,9511
