Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,178
Apurímac Region,≤100
Arequipa Region,201
Ayacucho Region,≤100
Cajamarca Region,112
Callao,124
Cusco Region,227
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,172
Junín Region,124
La Libertad Region,240
Lambayeque Region,148
Lima Region,3648
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,212
Puno Region,136
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
