Location name,Amount spent (NIO)
Boaco Department,265
Carazo Department,173
Chinandega Department,523
Chontales Department,341
Estelí Department,364
Granada Department,200
Jinotega Department,221
León Department,505
Madriz Department,≤100
Managua Department,2577
Masaya Department,359
Matagalpa Department,485
Nueva Segovia Department,262
Región Autónoma del Atlántico Norte,455
Región Autónoma del Atlántico Sur,441
Rivas Department,245
Río San Juan Department,112
Unknown,≤100
